72.28,71.52,70.32,67.68,60.00,67.76,70.85,72.88,75.00,73.76
72.47,71.68,71.10,69.63,68.17,69.57,71.43,72.80,73.60,73.63
72.86,70.00,72.03,71.87,71.54,71.81,72.43,73.01,73.40,73.55
74.76,73.72,73.70,73.81,73.83,73.69,73.58,73.59,73.65,73.70
78.20,76.71,75.66,75.73,76.18,75.47,74.68,74.25,74.05,73.95
85.00,78.80,76.92,77.06,80.00,76.73,75.43,74.78,74.42,74.22
79.59,78.37,77.21,77.02,77.25,76.54,75.67,75.07,74.69,74.44
77.88,77.50,76.97,76.68,76.49,76.12,75.63,75.18,74.85,74.60
77.04,76.88,76.62,76.37,76.14,75.86,75.52,75.20,74.93,74.71
76.53,76.45,76.29,76.10,75.90,75.67,75.43,75.18,74.96,74.77
